"DateTime","Number of sales","Sales USD"
"2018-09-17 00:00:00",3927,68419.05
"2018-09-18 00:00:00",4325,88853.86
"2018-09-19 00:00:00",5439,116717.33
"2018-09-20 00:00:00",4504,98997.62
"2018-09-21 00:00:00",5392,158339.63
"2018-09-22 00:00:00",7145,67506.86
"2018-09-23 00:00:00",5567,204216.02
"2018-09-24 00:00:00",4892,85717.55
"2018-09-25 00:00:00",4815,65266.91
"2018-09-26 00:00:00",5906,81388.03
"2018-09-27 00:00:00",6263,103038.92
"2018-09-28 00:00:00",3690,49690.99
"2018-09-29 00:00:00",4303,84307.85
"2018-09-30 00:00:00",5025,52009.87
"2018-10-01 00:00:00",4445,71878.18
"2018-10-02 00:00:00",3160,87642.28
"2018-10-03 00:00:00",3821,156463.39
"2018-10-04 00:00:00",4363,119455.26
"2018-10-05 00:00:00",7436,113078.2
"2018-10-06 00:00:00",4533,74742.66
"2018-10-07 00:00:00",4536,83282.08
"2018-10-08 00:00:00",4288,60333.87
"2018-10-09 00:00:00",3753,74454.79
"2018-10-10 00:00:00",4361,90775.25
"2018-10-11 00:00:00",6344,140690.87
"2018-10-12 00:00:00",4728,169903.74
"2018-10-13 00:00:00",4013,128891.26
"2018-10-14 00:00:00",3335,69855.91
"2018-10-15 00:00:00",3155,94382.53
"2018-10-16 00:00:00",3394,52178.91
"2018-10-17 00:00:00",5564,85743.04
"2018-10-18 00:00:00",3505,99050.99
"2018-10-19 00:00:00",8104,79426.19
"2018-10-20 00:00:00",4712,51251.16
"2018-10-21 00:00:00",5542,47764.39
"2018-10-22 00:00:00",4242,187545.34
"2018-10-23 00:00:00",5234,96185.95
"2018-10-24 00:00:00",4301,92913.86
"2018-10-25 00:00:00",3569,60017.7
"2018-10-26 00:00:00",4597,53730.24
"2018-10-27 00:00:00",5453,58236.51
"2018-10-28 00:00:00",4303,61469.71
"2018-10-29 00:00:00",4311,63045.25
"2018-10-30 00:00:00",3829,127889.16
"2018-10-31 00:00:00",3768,40590.23
"2018-11-01 00:00:00",3962,106395.92
"2018-11-02 00:00:00",3852,121310.3
"2018-11-03 00:00:00",4633,47794.88
"2018-11-04 00:00:00",4581,57182.77
"2018-11-05 00:00:00",4405,273707.89
"2018-11-06 00:00:00",3718,99107.76
"2018-11-07 00:00:00",5327,124472.85
"2018-11-08 00:00:00",3751,118821.89
"2018-11-09 00:00:00",3554,78318.64
"2018-11-10 00:00:00",4138,66247.67
"2018-11-11 00:00:00",4108,230139.91
"2018-11-12 00:00:00",4029,99612.8
"2018-11-13 00:00:00",5329,149280.8
"2018-11-14 00:00:00",5403,146510.51
"2018-11-15 00:00:00",10364,125829.36
"2018-11-16 00:00:00",6512,93491.08
"2018-11-17 00:00:00",4950,39472.7
"2018-11-18 00:00:00",4660,57703.83
"2018-11-19 00:00:00",4033,103501.09
"2018-11-20 00:00:00",4107,68481.27
"2018-11-21 00:00:00",6276,40935.56
"2018-11-22 00:00:00",6789,54194.06
"2018-11-23 00:00:00",4610,68591.35
"2018-11-24 00:00:00",4610,50420.63
"2018-11-25 00:00:00",5216,29785.04
"2018-11-26 00:00:00",5845,47367.54
"2018-11-27 00:00:00",6274,50526.02
"2018-11-28 00:00:00",5221,48757.3
"2018-11-29 00:00:00",4535,98429.14
"2018-11-30 00:00:00",6056,102199.51
"2018-12-01 00:00:00",10858,61168.68
"2018-12-02 00:00:00",7615,55175.75
"2018-12-03 00:00:00",7155,36064.73
"2018-12-04 00:00:00",6472,44428.36
"2018-12-05 00:00:00",13658,57039.32
"2018-12-06 00:00:00",5589,33739.93
"2018-12-07 00:00:00",6474,31640.2
"2018-12-08 00:00:00",4504,67484.3
"2018-12-09 00:00:00",4469,42409.63
"2018-12-10 00:00:00",3162,31064.43
"2018-12-11 00:00:00",3567,167574.41
"2018-12-12 00:00:00",3972,876459.36
"2018-12-13 00:00:00",5579,45626.59
"2018-12-14 00:00:00",4876,184011.84
"2018-12-15 00:00:00",6318,113797.73
"2018-12-16 00:00:00",6175,193270.45
"2018-12-17 00:00:00",4799,54782.43
"2018-12-18 00:00:00",3751,58641.35
"2018-12-19 00:00:00",4143,393464.28
"2018-12-20 00:00:00",4957,1015812.17
"2018-12-21 00:00:00",7030,2890804.64
"2018-12-22 00:00:00",3820,470537.97
"2018-12-23 00:00:00",7272,1366294.54
"2018-12-24 00:00:00",4057,70160.86
"2018-12-25 00:00:00",3172,66474.32
"2018-12-26 00:00:00",2962,26343.21
"2018-12-27 00:00:00",2894,28051.26
"2018-12-28 00:00:00",3283,59696.34
"2018-12-29 00:00:00",3124,25090.38
"2018-12-30 00:00:00",3093,54702.19
"2018-12-31 00:00:00",3406,62953.3
"2019-01-01 00:00:00",2479,20279.12
"2019-01-02 00:00:00",2685,29083.95
"2019-01-03 00:00:00",2733,44988.54
"2019-01-04 00:00:00",2777,51448.67
"2019-01-05 00:00:00",2835,30932.72
"2019-01-06 00:00:00",2758,732945.28
"2019-01-07 00:00:00",3186,37051.48
"2019-01-08 00:00:00",2374,55060.83
"2019-01-09 00:00:00",2413,41987.36
"2019-01-10 00:00:00",3489,45058.96
"2019-01-11 00:00:00",8554,60039.07
"2019-01-12 00:00:00",5919,71274.41
"2019-01-13 00:00:00",5515,90772.46
"2019-01-14 00:00:00",4628,90637.42
"2019-01-15 00:00:00",4247,33666.89
"2019-01-16 00:00:00",4449,58761.97
"2019-01-17 00:00:00",3772,45453.9
"2019-01-18 00:00:00",4607,57737.91
"2019-01-19 00:00:00",4245,39947.04
"2019-01-20 00:00:00",4723,65077.8
"2019-01-21 00:00:00",4339,34080.68
"2019-01-22 00:00:00",2480,25003.58
"2019-01-23 00:00:00",3065,27746.02
"2019-01-24 00:00:00",3874,27884.39
"2019-01-25 00:00:00",3313,45011.18
"2019-01-26 00:00:00",7303,36924.34
"2019-01-27 00:00:00",6948,60522.78
"2019-01-28 00:00:00",4899,62257.91
"2019-01-29 00:00:00",3295,25475.71
"2019-01-30 00:00:00",3380,889615.51
